ID,Organization Name,Industries,Description,CB Rank (Company),Founded Date,Exit Date,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Acquired by,Announced Date Acquisition,IPO,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax
001164,home-ix,"['Artificial Intelligence (AI)', 'Automotive', 'Software']",Smart IX is a developer of the smart ecosystem for homes.,"1,387,012",2016-01-01,,https://home-ix.com/#homeix,https://twitter.com/home_ix,https://www.facebook.com/homeix,https://www.linkedin.com/company/home-ix,"Smart IX is a  smart ecosystem solution developing company for home and beyond. Their technology includes AI ml-as-a-service, smart ecosystems, security privacy-by-design, smart personalization, smart data, normalization, and white-label customization.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Science and Engineering', 'Software', 'Transportation']",2.1707317073170733,5.5,,1,2020-05-01,,Non-equity Assistance,,SpinLab - The HHL Accelerator,0.0,1.0,0.0,,,,0,2006,0,11-50,11,50
001165,Instagrid,"['Battery', 'Energy Storage', 'Manufacturing']",Instagrid offers portable battery systems to create mobile power infrastructures for sectors with challenging power demands.,"9,473",2018-01-01,,https://instagrid.co,https://twitter.com/instagridco,https://www.facebook.com/instagridpower,https://www.linkedin.com/company/instagrid,"Instagrid offers portable battery systems to create mobile power infrastructures for sectors with challenging power demands. Instagrid products showcase a distinctive architecture comprising stacked micro-level inverters, allowing them to be notably smaller, lighter, and more potent compared to other battery systems. Instagrid's portable power systems provide dependable and efficient access to clean, affordable, and silent electricity.","['Energy', 'Manufacturing']",2.0,175.5,"Andreas Sedlmayr, Sebastian Berning",4,2024-01-23,87430000.0,Series C,137401184.0,"HTGF | High-Tech Gruenderfonds, SET Ventures, Teachers’ Venture Growth, Wille Finance, Morgan Stanley Investment Management",4.0,10.0,0.0,,,,0,10482,246,201-500,201,500
001166,Instawerk GmbH - CNC-Frästeile Online fertigen lassen,"['E-Commerce Platforms', 'Industrial Manufacturing', 'Information Technology', 'Machinery Manufacturing', 'Manufacturing']","Order CNC-machined parts with just 10 clicks. InstaWerk enables fast, simple and inexpensive procurement of custom CNC-machined components.","645,203",2018-01-01,,https://www.instawerk.de,https://twitter.com/fraesen_online,https://www.facebook.com/instawerk,https://www.linkedin.com/company/52137233,"The procurement of CNC machined parts as prototypes and small series represents a long, frustrating and resource-intensive process for smaller companies, research institutes and development departments. We are here to change this for good. As an online manufacturer of milled parts, InstaWerk offers the best conditions regarding price, quality and delivery time by bundling orders. This puts an end to the tedious and time-consuming search for a suitable manufacturing partner for your individual turned and milled parts. Throughout Germany we offer an immediate quotation through our price calculation tool. From the upload of a 3D model it takes only a few clicks until the order is placed. The upload is in STEP format. The maximum size is 750 mm x 750 mm x 750mm. A wide range of materials, tolerance classes and surface finishes are available. For more complex inquiries in larger series, special materials or tolerances, we are available for an individual inquiry.","['Commerce and Shopping', 'Information Technology', 'Internet Services', 'Manufacturing']",2.1707317073170733,5.5,,2,2020-12-01,,Seed,,"L-Bank, CIKONI",0.0,2.0,0.0,,,,0,135,10,11-50,11,50
001167,IoCare,"['Fitness', 'Health Care', 'Lifestyle']",IoCare is a wellness startup that brings independent living of elderly people.,"1,334,211",2017-05-01,,http://www.iocare.de/,,,https://www.linkedin.com/company/iocare,IoCare is a wellness startup that brings independent living of elderly people. The company focuses on creating services going beyond wearable that are simply around the user and visible only when needed. Its users can stay in its well-known comfort zone without forced to adapt to any kind of technology.,"['Community and Lifestyle', 'Health Care', 'Sports']",1.0,5.5,Matthias Riedel,2,2017-05-01,,Non-equity Assistance,,"Vertical.vc, SpinLab - The HHL Accelerator",0.0,2.0,0.0,,,,0,59,3,2-10,2,10
001168,Kalea,"['Food Processing', 'Manufacturing', 'Organic Food', 'Waste Management']","The Kalea kitchen composter turns kitchen waste into nourishing compost in 48 hrs, odorless and with safe handling.","550,685",2019-01-01,,https://www.mykalea.de/,,,https://www.linkedin.com/company/kalea-gmbh,"Established in 2017, KALEA has been focused on developing innovative solutions to increase the convenience of handling biowaste at home while improving sustainability. KALEA combines smart design with high-quality components, creating the kitchen composter that turns organic kitchen waste into nourishing compost in 48 hrs, climate friendly, odorless and with safe handling.","['Food and Beverage', 'Manufacturing', 'Sustainability']",3.0,5.5,"Christian Gärtner, Johannes Luschitz, Patrick Nennewitz",1,2019-11-01,,Pre-Seed,,Kärcher New Venture,0.0,1.0,0.0,,,,0,697,3,2-10,2,10
001169,Klein Data Research,"['Artificial Intelligence (AI)', 'Cryptocurrency', 'FinTech']",We navigate investors through the volatile cryptocurrency market with an innovative digital market letter backed by an in-house developed AI,"172,341",2019-01-01,,https://www.cryptocaptain.com/,https://www.twitter.com/Crypt0Captain,,https://www.linkedin.com/in/cryptocaptain/,"Klein Data Research operating under the brand name CryptoCaptain is offering an innovative digital market letter, which helps self-directed long-term investors to invest at an early stage in cryptocurrency bull markets while remaining protected from market downtrends and market crashes by employing an in-house developed Artificial Intelligence, which continuously monitors the market sentiment by analyzing a broad spectrum of online media.","['Artificial Intelligence (AI)', 'Blockchain and Cryptocurrency', 'Data and Analytics', 'Financial Services', 'Payments', 'Science and Engineering', 'Software']",2.0,5.5,"Achim Klein, Lyubomir Kirilov",1,2019-09-01,100000.0,Grant,109905.0,,0.0,0.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
001170,Laserhub,"['Industrial', 'Internet', 'Small and Medium Businesses']",Industrial procurement platform for custom made metal parts,"42,686",2017-01-01,,https://www.laserhub.com/,https://twitter.com/laserhub_gmbh/,https://www.facebook.com/laserhub.de,https://www.linkedin.com/company/laserhub-gmbh/,"Laserhub is the leading procurement platform for custom made metal parts for industrial B2B customers in Germany, Austria, France and Belgium","['Internet Services', 'Manufacturing', 'Other']",3.0,175.5,"Adrian Raidt, Christoph Roessner, Jonas Schweizer",4,2022-06-14,,Series B,3150000.0,"FJ Labs, Acton Capital, Evli Growth Partners, Point Nine, Saarbruecker 21",4.0,8.0,0.0,,,,0,3840,73,51-200,51,200
001171,Makersite,"['Analytics', 'Big Data', 'Compliance', 'Data Management', 'Data Visualization', 'Machine Learning', 'Product Management', 'Productivity Tools', 'Software', 'Supply Chain Management']","Makersite is a cloud-based product data management tool that helps companies manage product sustainability, cost, and compliance.","11,273",2018-01-01,,https://makersite.io,https://twitter.com/makersite,https://www.facebook.com/profile.php?id=100083688325108,https://www.linkedin.com/company/makersitede,"Makersite is a cloud-based product data management tool that helps companies manage product sustainability, cost, and compliance. Product life cycle management involves making design decisions based on multiple criteria including cost, compliance, sustainability, and risk. Unfortunately, the data and expertise required to make these decisions are siloed. This protracts the process of innovation and increases its complexity.  Today, the market solves this problem with vertical applications like PDM, ERP, CAD, EHS, SCM, etc. These mostly remain siloed due to the enormous costs of integration and keeping data synchronized. Therefore, analyses typically require exporting data to aggregation tools e.g. BI or excel before being used for analyses in specialist decision support applications. Results are typically delayed, some taking as much as 9 months, and therefore provide little support during the design process. Makersite provides results instantly and simultaneously across key product criteria. Makersite combines external and internal data sources to create a digital twin of a product in design. Artificial intelligence and its graph-based data model allow for ingesting, representing, and connecting heterogeneous data easily. Its native applications use algorithms to support analysis and decision-making based on multiple criteria simultaneously including should-costs, regulatory compliance, life cycle impacts (LCA), supply chain risk, etc. The API-first architecture allows for easy integrations into existing IT infrastructures thereby supporting systems and processes with richer, fresher, and more timely product data. This allows engineers to understand and improve their designs from the perspective of their regulatory compliance, environmental impact, supply risk, and cost of production, simultaneously. Companies can get results up to 40x faster than traditional methods while making their products better.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Design', 'Information Technology', 'Other', 'Professional Services', 'Software', 'Transportation']",1.0,75.5,Neil Dsouza,5,2022-10-18,18200000.0,Series A,18031896.0,"Translink Capital, EASME, Planet A Ventures, Hitachi Ventures, KOMPAS VC",4.0,7.0,0.0,,,,0,8637,91,51-200,51,200
001172,MemoMeister,['SaaS'],"Mobile, SaaS, Information Management, Construction","371,315",2017-01-01,,https://www.memomeister.com/,,,https://www.linkedin.com/company/memomeister/,"MemoMeister organizes your business information in a common, digital construction folder.",['Software'],2.0,5.5,"Achim Maisenbacher, Jan Hagen Schurkus",1,2018-01-01,,Seed,,STIHL Ventures,0.0,1.0,0.0,,,,0,740,7,2-10,2,10
001173,NC-Vision,"['Information Technology', 'Manufacturing', 'Software']",NC-Vision is first mover of AI NO-Code software composition platform for manufacturing.,"322,479",2019-01-01,,https://nc-vision.com,https://twitter.com/ncvisiongmbh,https://www.facebook.com/ncvisiongmbh,https://www.linkedin.com/company/nc-vision,NC-Vision is first mover of AI NO-Code software composition platform for manufacturing.,"['Information Technology', 'Manufacturing', 'Software']",2.0,30.5,"Klaus Heller, Oliver Ruzek",1,2023-01-01,,Seed,,,0.0,0.0,0.0,,,,0,2190,39,11-50,11,50
001174,Peakboard,"['Business Intelligence', 'Digital Signage', 'Information Technology', 'Real Time', 'Software']",Peakboard helps enterprise customers to distribute real time information to workers in logistic and production processes.,"98,300",2016-06-01,,http://www.peakboard.com,https://twitter.com/pkbrd,https://www.facebook.com/peakboardvisualizingthings,https://www.linkedin.com/company/peakboard-gmbh,"Peakboard helps you easily and efficiently visualize complex data and processes in real-time. For customers and employees. As digital in-house communications, digital signage, and Andon Boards. For displays in production, logistics, administration, and Point-of-Sale.","['Data and Analytics', 'Information Technology', 'Other', 'Sales and Marketing', 'Software']",2.0,30.5,"Patrick Theobald, Peter Wohlfarth",2,2017-05-01,1000000.0,Venture - Series Unknown,1258639.0,,0.0,0.0,0.0,,,,0,2438,21,11-50,11,50
001175,Premano,"['Consumer', 'Consumer Applications', 'Consumer Goods']",Premano is a develop outstanding products and promote these at reasonable prices for consumer goods.,"845,975",2016-01-01,,http://www.premano.de/,,https://www.facebook.com/pg/premanoGmbHundCoKG/,https://www.linkedin.com/company/premano-gmbh-co-kg,,"['Apps', 'Consumer Goods', 'Other', 'Software']",2.1707317073170733,5.5,,1,2019-12-12,,Non-equity Assistance,,VentureOut,0.0,1.0,0.0,,,,0,276,14,11-50,11,50
001176,Reparando,"['Business Travel', 'Location Based Services']",Reparando is currently leading supraregional service providers for high-quality B2B smartphone repairs.,"761,377",2015-01-01,,https://reparando.de,https://twitter.com/reparandogmbh,https://www.facebook.com/ReparandoOfficial,https://www.linkedin.com/company/reparando-gmbh/,"Since mid-2015, Reparando offers an incomparable mobile phone repair service and is thus a bright spot for desperate smartphone owners. The founders Vincent Osterloh, Jakob Schoroth and Till Kratochwill recognized the unsatisfactory situation for people with defective iPhones or Samsung mobile phones and decided to change them: ""Their mobile phone repair should be specially designed for a high level of quality, friendly and competent staff and an optimal service experience Distinguishing customers ""- this is the philosophy of the mobile phones.","['Data and Analytics', 'Internet Services', 'Navigation and Mapping', 'Travel and Tourism']",3.0,30.5,"Jakob Schoroth, Till Kratochwill, Vincent Osterloh",4,2017-04-01,,Series A,,"Cancom, Hubraum, Monkfish Equity, Richmond View Ventures, Catagonia Capital",0.0,7.0,0.0,,,,0,205,4,11-50,11,50
001177,SE.M.LABS GmbH,"['FinTech', 'Software']",SE.M.LABS GmbH is a software-as-a-service (SaaS) business,"187,451",2015-07-06,,https://www.semlabs.de,,,,"SE.M.LABS is more than a software as a service provider for ""pay per use 4.0"" models. With their broad partner network and over ten years of expertise in the financial industry, they offer a full service range in the area of consumption-based financing and insurance models. The software forms the link between capital equipment and the billing of the financial service. By universal interfaces different equipment and systems can be interconnected. With their software their customers can reduce their internal expenditures to a minimum and concentrate on their core business. Through their solution, they enable their customers to enter new markets such as pay per use financing models, Share-Economy and telemetry-driven business models.","['Financial Services', 'Software']",2.0,5.5,"Daniel Schniepp, Svend Erik Wendt",1,2016-04-22,780000.0,Seed,875529.0,,0.0,0.0,0.0,,,,0,,,,,
001178,SEG Automotive,"['Automotive', 'Machinery Manufacturing', 'Manufacturing', 'Retail']","SEG Automotive is a supplier of vehicle products such as boost recuperation machines, generators and starter motors.","218,725",2018-01-01,,https://www.seg-automotive.com/,https://twitter.com/segautomotive?lang=en,,https://www.linkedin.com/company/seg-automotive/,,"['Commerce and Shopping', 'Manufacturing', 'Transportation']",2.1707317073170733,7500.5,,1,2018-01-01,,Venture - Series Unknown,,"China Renaissance Capital Investment, ZMJ Group",0.0,2.0,0.0,,,,0,32720,1821,5001-10000,5001,10000
001179,Smark,"['E-Commerce', 'Shopping']",Smark is offers a new kind of shopping experience with fully automated shopping stations.,"98,190",2016-01-01,,https://smark.de/,https://twitter.com/smarking,https://www.facebook.com/pg/smarkesache/,https://de.linkedin.com/company/smark-de,"Smark offers a new kind of shopping experience with fully automated shopping stations. Co-founders Philipp Hoening and Max Ittermann created the concept to make grocery shopping easy, quick, convenient and possible at any time, for anyone. Items are ordered in advance via smartphone or onsite via a touch screen. Within a minute, the shopping basket is automatically assembled and dispensed by the station. The technology behind the process was created by the startup and is called the ‘smarkBox’ – a combination of hardware, automation technology and web technologies.",['Commerce and Shopping'],3.0,5.5,"Max Ehret, Maximilian Ittermann, Philipp Hoening",1,2020-06-23,3100000.0,Seed,3506922.0,"Mutschler Ventures AG, CAMPO GROUP",0.0,2.0,0.0,,,,0,1011,9,11-50,11,50
001180,SPACEGOATS,"['Artificial Intelligence (AI)', 'E-Commerce', 'Retail', 'Software']",Your AI-Powered E-Commerce Solution for International Growth,"320,697",2019-01-30,,https://spacegoats.io/,,https://www.facebook.com/spacegoats.io,https://www.linkedin.com/company/spacegoats/,"SPACEGOATS has the mission to simplify e-commerce and global expansion for online sellers and brands. With the latest product GalaxyAI, an AI-based co-pilot designed to streamline business processes, optimize content and product portfolios, and simplify international expansion, we redefine the future of e-commerce forever. Founded in 2019, SPACEGOATS has already made significant strides in the e-commerce space with a powerful software named Galaxy and supply chain infrastructure, simplifying international e-commerce and enabling seamless expansion. We've successfully eliminated the complexities of international trade, helping businesses grow effortlessly. Now, with GalaxyAI, we aim to take this mission even further. GalaxyAI is designed to evolve from leveraging public language model APIs to a fully autonomous business agent, assisting in decision-making, market research, compliance requirements, and more. We have a working MVP integrated within our existing Galaxy software and a clear development roadmap. In addition, we have built a strong customer base over the past few years, generating an ARR of almost $1M. The Galaxy software helps us handle this revenue by providing deep-dive reporting and remote control to our customers. Now we are seeking an investment of $0.75M to accelerate the software development, amplify our marketing and sales efforts, and bolster our operational strength. The investment opportunity is open for angels and VC firms with a strong belief in the potential of AI and e-commerce. We are especially interested in partners with experience in AI, E-Commerce, or preferably, both. Partnerships with potential clients, connections, and support for a U.S. market entry would be highly valued. Join us in our mission to revolutionize e-commerce and shape the future of business with GalaxyAI.","['Artificial Intelligence (AI)', 'Commerce and Shopping', 'Data and Analytics', 'Science and Engineering', 'Software']",2.0,30.5,"Anton Hermann, Manuel Eynollahiargaghy",1,2019-12-01,,Pre-Seed,,"HTGF | High-Tech Gruenderfonds, Fast Track Malmo",1.0,2.0,0.0,,,,0,1589,16,11-50,11,50
001181,SPARETECH,"['Industrial Manufacturing', 'Machinery Manufacturing', 'Manufacturing', 'Procurement', 'Software', 'Supply Chain Management']","Transforming industrial spare parts management into an efficient, reliable, & collaborative experience.","23,649",2018-09-01,,https://www.sparetech.io/,,,https://www.linkedin.com/company/sparetech-io/about/,"SPARETECH creates a collaboration platform for manufacturing companies to digitize their spare part inventories, calculate their true demand, compare parts from various suppliers, and source the appropriate part outside or within their production network. The software compares spare part lists from clients to the product database and generates standardized data sets for ERP systems. They allow the customer to leverage sourcing and usage within the production network.","['Manufacturing', 'Software', 'Transportation']",2.0,75.5,"Dr. Lukas Biedermann, Martin Weber",4,2023-06-15,10000000.0,Series A,17103253.0,"Plug and Play, Headline, Insight Partners, Christian Reber, Carsten Thoma",3.0,13.0,0.0,,,,0,5300,86,51-200,51,200
001182,Strong by Form,"['3D Printing', 'Advanced Materials', 'Automotive', 'Construction', 'Industrial Manufacturing', 'Wood Processing']","Sustainable ultralight high-performance timber-based biocomposites able to replace steel, aluminum and concrete in construction and mobility","37,950",2018-05-22,,http://www.strongbyform.com,,,https://www.linkedin.com/company/11709902,"Strong by Form bonds nature and technology to build a sustainable future. Our Woodflow technology allows to produce high-performance lightweight biocomposites that are strong enough to become an alternative to materials such as aluminum or fiber reinforced plastics on vehicles and steel and concrete used on buildings. Emulating trees’ structural efficiency, we’ve developed a design-to fabrication technology that combines the latest optimization tools and AI with a proprietary additive manufacturing process. This allows us to create timberbased composites capable of matching the performance other structural materials at a fraction of their weight and environmental impact. We tackle the sustainable lightweight materials market. These enable vehicles to reach longer distances and buildings to use less raw material. We expect Woodflow’s combination of high-performance, sustainability and productivity to become a game changer for the new generation of sustainable construction and mobility.","['Manufacturing', 'Real Estate', 'Science and Engineering', 'Transportation']",1.0,5.5,Andres Mitnik,4,2023-12-05,4800000.0,Seed,6179203.0,"Teampact ventures, Symbia VC, Magical, CMPC Ventures, Finsa",1.0,10.0,0.0,,,,0,3857,20,11-50,11,50
001183,Swarm Logistics,"['Artificial Intelligence (AI)', 'Autonomous Vehicles', 'Fleet Management', 'Industrial Automation', 'Internet of Things', 'Logistics', 'Machine Learning', 'Robotics', 'Software', 'Supply Chain Management']","Fleet-orchestration & optimization as middleware cloud solution to operate heterogeneous, commercial vehicles cars, vans & trucks over API","290,040",2018-02-27,,https://www.swarmlogistics.de,https://twitter.com/SwarmLogistics,https://www.facebook.com/SwarmLogistics/,https://www.linkedin.com/company/swarm-logistics/,"Swarm Logistics is a Deep-Tech software technology company specializing in the development of Fleet Control systems. We provide systems to fully automate the coordination & orchestration of heterogeneous fleets with trucks, cars, buses &autonomous vehicles in open environments. Provide Fleet-Orchestration solutions with AI derived travel time predictions   & ETA with capacitated and weight dependent planning. Our vision is to enable the Machine Economy in transportation, where vehicles of competing companies orchestrate themselves fully autonomously with flexible time and location for trans-shipments. Vehicles are coordinating themselves like swarms with edge computing and a server-less infrastructure. We are located in the city center of one of the world’s hubs for mobility in Stuttgart, Germany. We are a small but determined team of specialists with a clear vision and roadmap to achieve the Machine Economy in the mobility space with shippable intermediaries.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Hardware', 'Internet Services', 'Manufacturing', 'Science and Engineering', 'Software', 'Transportation']",1.0,5.5,Damir Dulovic,2,2021-03-15,,Seed,,"ETO Gruppe, European Space Agency",1.0,2.0,0.0,,,,0,1395,3,2-10,2,10
001184,tsenso,"['Agriculture', 'Cloud Computing', 'Computer Vision', 'Food and Beverage', 'Information Technology', 'Logistics']","tsenso is an automated, cloud-based solution to track and gather information on product storage conditions from farm to fork.","79,019",2016-09-01,,https://freshindex.eu/,https://twitter.com/tsensoCom,https://www.facebook.com/FreshIndex,https://www.linkedin.com/company/tsenso,"tsenso is an automated, cloud-based solution to track and gather information on product storage conditions from farm to fork. It collects complex logistical and monitoring data and aggregates it into a “Fresh Index”, a real-time shelf life indicator. This enables wholesalers and retailers to make decisions on quality assurance and determine weak spots within the supply chain. Suppliers, distributors and consumers benefit from a higher level of food transparency which reduces costs, leads to increased trust and less food wastage at all stages of the supply chain.","['Agriculture and Farming', 'Food and Beverage', 'Hardware', 'Information Technology', 'Internet Services', 'Software', 'Transportation']",4.0,30.5,"Christian Fleck, Christian Fleck, Matthias Brunner, Rahul Tomar",4,2020-11-02,550000.0,Grant,721726.0,"Techstars, German Federal Ministry of Education and Research, EASME, LeadX Capital Partners, METRO Xcel",2.0,6.0,0.0,,,,0,500,8,2-10,2,10
001185,Veprosa,"['E-Commerce', 'Food and Beverage', 'Food Processing']",Veprosa comprises a protein complex of rice and sweet lupine that contains necessary amino acids.,"155,607",2019-01-01,,https://veprosa.com,,https://www.facebook.com/veganproteinsauce,https://www.linkedin.com/company/veprosa,"Veprosa comprises a combination of rice and sweet lupine protein, which offers vital amino acids. These are not essential for everyone. In addition to the previously mentioned benefits, the versa saves time! And calories! In only a few minutes, you can combine our protein-rich organic sauces with entire meals like cereals or lentils. They give your rice, mushroom pan, or chickpea curry a distinct flavor. Because organic sauces are free of artificial additives, you can incorporate them into your regular diet and enjoy them without reservation. Speaking of enjoyment, we prioritize flavor over all else, and our sauces are especially popular with kids!","['Commerce and Shopping', 'Food and Beverage']",2.1707317073170733,5.5,,1,2023-05-16,100000.0,Angel,108655.0,Ralf Dummel,1.0,1.0,0.0,,,,0,139,2,2-10,2,10
001186,vialytics,"['Big Data', 'Government', 'GovTech', 'SaaS', 'Software']","vialytics' mission is to digitize road management in cities, municipalities and counties","7,584",2017-01-01,,http://www.vialytics.de,https://twitter.com/vialytics,https://www.facebook.com/Vialytics-2554563517949664,https://www.linkedin.com/company/vialytics,"vialytics' mission is to digitize road management in cities, municipalities and counties. Providing up-to-date image data and automatic evaluation, vialytics's AI simplifies the day-to-day work of our partner municipalities— from road inspection to maintenance management. We save cities time, money, and manpower, all while making roads safer. Over 400 partner municipalities in the US and Europe trust in vialytics.","['Data and Analytics', 'Government and Military', 'Information Technology', 'Software']",3.0,175.5,"Achim Hoth, Danilo Jovicic, Patrick Glaser",6,2024-12-18,8000000.0,Venture - Series Unknown,18280082.0,"Volkswagen Group, Acton Capital, Public, Statkraft Ventures, Scania Growth Capital",6.0,6.0,0.0,,,,0,3359,100,51-200,51,200
001187,ViveLaCar,"['Automotive', 'E-Commerce', 'E-Commerce Platforms', 'Marketplace', 'Rental', 'Service Industry', 'Subscription Service']",ViveLaCar offers car subscription delivered through a fully digital marketplace in an asset-light model,"226,205",2019-01-16,2023-01-24,https://www.vivelacar.com/,,https://www.facebook.com/vivelacar/,https://de.linkedin.com/company/vive-la-car-gmbh,"Founded in 2018, ViveLaCar has developed an asset-light car subscription marketplace offering consumers a hassle-free alternative to traditional car ownership, while increasing revenues for OEMs and dealerships.","['Commerce and Shopping', 'Internet Services', 'Other', 'Transportation']",4.0,75.5,"Armin Weinand, Florine von Caprivi, Martin Rada, Mathias R. Albert",2,2020-01-28,,Seed,,"Vector Venture Capital, Die Vienna Insurance Group",2.0,2.0,1.0,"Made Acquisitions, Was Acquired",The Platform Group,2023-01-24,0,3681,41,51-200,51,200
001188,Waays CrowdCoaching,"['Software', 'Sports', 'Training']",Waays CrowdCoaching offers a crowd-coaching marketplace that provides access to any sports-related knowledge.,"2,778,981",2017-01-01,,http://www.waays.de,,,https://www.linkedin.com/company/waays-crowdcoaching-gmbh,"Waays CrowdCoaching offers a crowd-coaching marketplace that provides access to any sports-related knowledge. By exploring various sports or goal categories and applying filters such as training level, duration, or rating, customers can discover the ideal ""waays"" to achieve their objectives. Waays CrowdCoaching was established in 2017 and is headquartered in Stuttgart, Baden Württemberg.","['Education', 'Software', 'Sports']",2.1707317073170733,5.5,,1,2017-12-10,,Non-equity Assistance,,VentureOut,1.0,1.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
001189,WildFyre,"['Social Media', 'Social Network']","Social media built for you, by you","228,076",2016-11-29,,https://wildfyre.net/,https://twitter.com/wildfyreapp,https://www.facebook.com/wildfyreapp,https://www.linkedin.com/company/35461909,"Using positive group think practices, we put the control of the social network back into the users hands.","['Internet Services', 'Media and Entertainment']",2.0,5.5,"Cameron Gilbert, Tobias Wiese",1,2016-11-29,60000.0,Pre-Seed,60000.0,,0.0,0.0,0.0,,,,0,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE
001190,123Fahrschule,"['Automotive', 'E-Learning', 'Education', 'Training']",123Fahrschule specializes in the consolidation and digital expansion of the driver's license training in the driving school market.,"253,032",2016-07-01,,https://www.123fahrschule.de/,https://twitter.com/123fahrschule?lang=de,https://www.facebook.com/123fahrschule.de/,https://www.linkedin.com/company/123fahrschule/,"123Fahrschule offers intelligent application software for administration, e-learning, and individual learning status control for driver's license training for all driver's license classes.","['Education', 'Software', 'Transportation']",1.0,375.5,Boris Polenske,2,2017-06-01,,Seed,,"Enjoyventure Management, Media Ventures, VCDE Venture Partners",2.0,3.0,1.0,Made Acquisitions,,,0,649,39,51-200,51,200
001191,1NCE,"['Business Intelligence', 'Data Management', 'Internet of Things', 'Smart Building', 'Smart Cities', 'Software', 'Telecommunications', 'Wireless']",1NCE is the only provider of connectivity and software for IoT at a global flat rate,"3,262",2017-12-01,,https://1nce.com,https://twitter.com/1NCE_IoT,https://www.facebook.com/1NCEGmbH,https://www.linkedin.com/company/18471615/,"1NCE is the only provider of connectivity and software for IoT at a global flat rate – offering fast, secure, and reliable cellular connectivity and software services in 140 countries worldwide. The 1NCE IoT Flat Rate is designed to last over the entire lifetime of an IoT device with a one-off payment of $10 (€10) for 10 years, making IoT applications affordable and scalable for smart utilities, asset tracking, vehicle telematics and other uses.  The company – founded in 2017 by CEO Alexander P. Sator together with Deutsche Telekom AG – is headquartered in Cologne, Germany and has 200 staff in Amsterdam, Cologne, Hamburg, Hong Kong, London, Miami, Paris, Riga, Rome, and Warsaw.","['Data and Analytics', 'Hardware', 'Internet Services', 'Mobile', 'Real Estate', 'Software']",3.0,375.5,"Alexander Bufalino, Alexander P Sator, Kim Juchem",3,2022-06-08,,Venture - Series Unknown,50000000.0,"SoftBank Vision Fund, SoftBank, I Squared Capital, Deutsche Telekom",1.0,4.0,0.0,,,,0,9777,287,201-500,201,500
001192,aedifion,"['Cloud Data Services', 'Software']","Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","19,490",2017-09-14,,https://www.aedifion.com/,,,https://www.linkedin.com/company/aedifion/,"aedifion helps to manage buildings sustainably, efficiently, and transparently. We are a Cologne-based PropTech with over 60 employees and operate Germany's leading software solution for technical building equipment. Our AI-based cloud platform enables us to reduce energy consumption, CO2 emissions and operating costs of buildings by up to 40%. Our plug-and-play solution collects real-time operational data, identifies malfunctions, and provides clear recommendations for action to optimize operations. This will pave the way for efficient, sustainable buildings that retain their value. A win-win-win for owners, operators and tenants.","['Information Technology', 'Internet Services', 'Software']",3.0,75.5,"Erik Brümmendorf, Jan Henrik Ziegeldorf, Johannes Fütterer",4,2023-01-01,12000000.0,Series A,12846645.0,"World Fund, BitStone Capital, Drees & Sommer AG, Phoenix Contact Innovation Ventures, Bauwens Digital",3.0,8.0,0.0,,,,0,4223,73,51-200,51,200
001193,aiconix GmbH,"['Analytics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Media and Entertainment', 'SaaS', 'Software', 'Speech Recognition']",aiconix.ai relies on artificial intelligence in the area of ​​video optimization.,"74,363",2018-04-13,,http://www.aiconix.ai/,https://twitter.com/aiconix_ai,https://www.facebook.com/aiconix/,https://www.linkedin.com/company/aiconix-ai,"aiconix GmbH an AI technology enabler and solutions provider for analysis and processing of audio-visual content. By helping our customers to enrich their audiovisual (AV) content to make it detectable, searchable and usable, we enable them to work smarter.  We make the best AI solutions for content processing available to everyone and every industry.","['Artificial Intelligence (AI)', 'Data and Analytics', 'Media and Entertainment', 'Science and Engineering', 'Software']",2.0,30.5,"Aleksander Koleski, Eugen Gross",9,2021-12-20,300000.0,Non-equity Assistance,2686703.0,"Next Media Accelerator, IFB Innovationsstarter, Ragnar Kruse, Kim Nis Neuhauss, Jens Schumann",1.0,7.0,0.0,,,,0,1370,14,11-50,11,50
